epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.31888,2.7801,5.64745,1.2236,0.0299,0.05825,0.01672,0.01138,2.15394,4.93514,1.05741,5e-05,5e-05,5e-05
2,9.33989,2.70333,5.4972,1.20524,0.07769,0.18778,0.0884,0.04045,1.8033,3.20496,0.94525,0.000111386,0.000111386,0.000111386
3,12.8609,1.97735,2.49209,0.94456,0.46774,0.33143,0.26372,0.15449,1.48812,1.40574,0.87546,0.000171535,0.000171535,0.000171535
4,15.7124,1.86694,1.63976,0.93539,0.63697,0.3834,0.36697,0.21321,1.58095,1.18483,0.89361,0.000230446,0.000230446,0.000230446
5,19.0756,1.81963,1.39581,0.88699,0.95716,0.37229,0.41587,0.27831,1.34765,0.9911,0.84063,0.00028812,0.00028812,0.00028812
6,22.1225,1.80343,1.23642,0.88099,0.72378,0.42913,0.49169,0.262,1.53782,0.99551,0.84726,0.000344556,0.000344556,0.000344556
7,25.2899,1.6533,1.18096,0.87932,0.94623,0.55686,0.63988,0.34269,1.39214,1.00545,0.83579,0.000399755,0.000399755,0.000399755
8,28.0227,1.73318,1.1081,0.8891,0.58486,0.55454,0.60309,0.26648,1.8456,1.11429,0.87885,0.000453716,0.000453716,0.000453716
9,31.0108,1.6018,0.9674,0.8731,0.94922,0.56615,0.67037,0.36927,1.48871,0.78368,0.84786,0.00050644,0.00050644,0.00050644
10,34.0569,1.68076,1.00021,0.88876,0.5616,0.58663,0.61568,0.28574,2.09815,1.16363,0.92906,0.000557926,0.000557926,0.000557926
11,36.6517,1.6483,0.96641,0.88488,0.56823,0.54466,0.63063,0.30847,1.73089,1.02051,0.89393,0.000608175,0.000608175,0.000608175
12,39.2983,1.60907,0.98302,0.87198,0.6216,0.64037,0.64505,0.307,2.2099,1.25972,0.9394,0.000657186,0.000657186,0.000657186
13,41.8811,1.57027,0.89938,0.86974,0.668,0.6984,0.7051,0.37249,1.85292,1.01797,0.88719,0.00070496,0.00070496,0.00070496
14,45.2054,1.57465,0.86298,0.86838,0.61683,0.71451,0.70434,0.39153,1.68016,0.86177,0.86021,0.000751496,0.000751496,0.000751496
